"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"new cycle bna di 🥺🥺~wood working/art skill~wooden~#short #ytshort #newchinese #shortfeed","UCxndW47q4PKUstlPKzh1CBw",36595522,0,0,961,"2023-06-10T05:31:19Z","People & Blogs"
"BARU! Keju Cheddar Anchor dari New Zealand","UCfDpWxtKc_PBOXr7gPLXLrQ",24921355,32,0,5,"2023-05-16T03:21:41Z","People & Blogs"
"CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki","UCrzyJYtjLOTfnUur8hsr7ow",22639403,120531,0,7473,"2017-01-13T01:37:07Z","Film & Animation"
"DREAMS (Full Movie) Anmol KC | Samragyee RL Shah | New Nepali Superhit Full Movie","UCrzyJYtjLOTfnUur8hsr7ow",16144158,125885,0,6735,"2016-09-09T16:55:30Z","Film & Animation"
"Prirodni lek protiv virusa i prehlade: Pije se samo pred spavanje!","UCJlYs20qh2f4MZd5VdjUwwQ",13755324,85585,0,1955,"2022-02-07T16:15:04Z","Howto & Style"
"Bhairav || भैरब || Nepali Action Movie || Nikhil Upreti, Anu Shah, Murali Dhar,Jay Kishan Basnet,","UCNR1KcWXj7zpWQFJtU3ddYg",11888341,92724,0,3836,"2016-06-15T18:15:01Z","Film & Animation"
"Smart Dog Adopts a Baby Cheetah!2/3#shorts #fantasy  #storytime","UCLWsxohUpMUpzMGGhhMUcFg",5567318,261776,0,552,"2023-06-02T14:32:00Z","Film & Animation"
"SWIMWEAR TRY ON HAUL","UCln85QTfPiZkfPyIUGg5-pg",5234736,50253,0,1931,"2018-02-04T10:30:01Z","People & Blogs"
"NOOB vs PRO vs HACKER In COVER ORANGE 2!? (ALL LEVELS!) Prezley","UCoYZhAgYpUDnpnfHiHBwrsw",4594899,226,0,68,"2022-02-11T07:00:13Z","People & Blogs"
"HIT NEPALI MOVIE || LOOTERA || लूटेरा || Nikhil Upreti ,Nisha Adhikari","UCNR1KcWXj7zpWQFJtU3ddYg",4494865,26276,0,1689,"2016-09-08T02:15:00Z","Film & Animation"
"SETO BAGH | New Nepali Full Movie 2016 | Nir Shah, Raja Ram Paudel, Shyam Ria","UCrzyJYtjLOTfnUur8hsr7ow",3397732,21390,0,1257,"2016-06-10T10:17:49Z","Film & Animation"
"SHAKUNTALA | Nepali Full Movie 2017/2074 Ft. Rajesh Hamal, Kishor Khatiwada, Rabindra Basnet","UCrzyJYtjLOTfnUur8hsr7ow",2275011,11701,0,717,"2017-05-19T06:17:12Z","Film & Animation"
"MAANLE MAANLAI CHHUNCHHA | Nepali Lovestory Full Movie | Suman Singh, Garima Pant","UCrzyJYtjLOTfnUur8hsr7ow",1854774,9566,0,468,"2016-01-28T12:31:24Z","Film & Animation"
"全新香浓顺滑 Nestlé 猫山王雪糕","UCjypvMUkHymPHE-P-QQ9Ttw",1816796,147,0,8,"2022-01-19T04:49:08Z","People & Blogs"
"Dogman | FREE Full Horror Movie","UCu0bxC7vG_HKWJ7ijO9QKwg",1504592,5620,0,153,"2016-07-02T15:30:00Z","Film & Animation"
"Cuales son sus galletas favoritas? 😂❤️👌 @latiamaryjane","UCubB4RJhGFvqfP5z5t7Q0cQ",1322399,42255,0,74,"2023-07-31T18:00:00Z","Entertainment"
"PAUJU | New Nepali Action Full Movie Pauju Ft. Biraj Bhatta, Priya Rijal","UCrzyJYtjLOTfnUur8hsr7ow",1313223,6710,0,338,"2014-10-09T10:49:24Z","Film & Animation"
