"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"CHHAKKA PANJA (Full Movie) - Superhit Nepali Full Movie Ft. Deepakraj Giri, Priyanka Karki","UCrzyJYtjLOTfnUur8hsr7ow",22647287,120571,0,7476,"2017-01-13T01:37:07Z","Film & Animation"
"DREAMS (Full Movie) Anmol KC | Samragyee RL Shah | New Nepali Superhit Full Movie","UCrzyJYtjLOTfnUur8hsr7ow",16154461,125958,0,6734,"2016-09-09T16:55:30Z","Film & Animation"
"Bhairav || भैरब || Nepali Action Movie || Nikhil Upreti, Anu Shah, Murali Dhar,Jay Kishan Basnet,","UCNR1KcWXj7zpWQFJtU3ddYg",11891103,92769,0,3835,"2016-06-15T18:15:01Z","Film & Animation"
"Wild Zoo Animals Toys Baby Mom Learn Animals Names Education Toys","UCL7UTQpJbDWxzXNBRUyg6lA",10228374,26531,0,0,"2019-07-04T11:00:05Z","Entertainment"
"Agilent Seahorse XF T Cell Metabolic Profiling Kit","UCv_MeA0Opio0_NrD_BWIKwg",6119956,9,0,0,"2022-04-28T15:39:53Z","Science & Technology"
"Biopharmaceutical software for LC/MS oligonucleotide analysis","UCv_MeA0Opio0_NrD_BWIKwg",4653095,7,0,0,"2022-06-07T12:49:41Z","Science & Technology"
"HIT NEPALI MOVIE || LOOTERA || लूटेरा || Nikhil Upreti ,Nisha Adhikari","UCNR1KcWXj7zpWQFJtU3ddYg",4495974,26300,0,1690,"2016-09-08T02:15:00Z","Film & Animation"
"SETO BAGH | New Nepali Full Movie 2016 | Nir Shah, Raja Ram Paudel, Shyam Ria","UCrzyJYtjLOTfnUur8hsr7ow",3398775,21397,0,1257,"2016-06-10T10:17:49Z","Film & Animation"
"Game of Thrones 8x06 Promo &amp; Featurette (HD) Season 8 Episode 6 Promo Series Finale","UCDR8cvjALazMm2j9hOar8_g",2857581,10498,0,5293,"2019-05-13T01:46:39Z","Entertainment"
"Revealing the Truth: Conquering Toenail Fungus &amp; Restoring Deformed Toenails","UCwzCia9epdLaR7ZzT9ZgT2g",2813979,109260,0,792,"2023-06-05T02:29:43Z","Entertainment"
"SHAKUNTALA | Nepali Full Movie 2017/2074 Ft. Rajesh Hamal, Kishor Khatiwada, Rabindra Basnet","UCrzyJYtjLOTfnUur8hsr7ow",2276723,11717,0,717,"2017-05-19T06:17:12Z","Film & Animation"
"MAANLE MAANLAI CHHUNCHHA | Nepali Lovestory Full Movie | Suman Singh, Garima Pant","UCrzyJYtjLOTfnUur8hsr7ow",1855888,9574,0,468,"2016-01-28T12:31:24Z","Film & Animation"
"fortnite added a sniper shotgun","UC-sjC5fKKsrpcZRJwlZJzZQ",1849439,81530,0,5003,"2022-02-01T14:30:41Z","Gaming"
"Dogman | FREE Full Horror Movie","UCu0bxC7vG_HKWJ7ijO9QKwg",1505471,5626,0,153,"2016-07-02T15:30:00Z","Film & Animation"
"PAUJU | New Nepali Action Full Movie Pauju Ft. Biraj Bhatta, Priya Rijal","UCrzyJYtjLOTfnUur8hsr7ow",1314260,6723,0,338,"2014-10-09T10:49:24Z","Film & Animation"
"AFL PR AGENCY","UCJQiUVgtuSxyY3Yzz4MpwCA",1129388,566,0,16,"2022-03-14T22:51:35Z","Sports"
"🔴 INTER MIAMI vs ORLANDO CITY EN VIVO ⚽ LEAGUES CUP - JUEGA MESSI | LA SECTA DEPORTIVA","UCBPasXWxj1DYJLqZktw_UWg",1048048,10422,0,0,"2023-08-03T04:09:14Z","Sports"
"Cambridge A Level: Yun Xin’s gateway to the University of Cambridge","UCO3IZEx6CD5dLwsuqZgA63Q",922800,128,0,4,"2020-10-28T11:04:01Z","Education"
"Fortnite Season 4 BATTLEPASS is EPIC!","UC-sjC5fKKsrpcZRJwlZJzZQ",914691,35613,0,2549,"2022-09-18T09:13:50Z","Gaming"
"Why Dogs Eat Grass and 33 Jaw-Dropping Facts","UC4rlAVgAK0SGk-yTfe48Qpw",889093,18420,0,717,"2020-02-12T17:00:12Z","Howto & Style"
"oh my god","UCDkl5M0WVaddTWE4rr2cSeA",871314,116336,0,5832,"2023-08-02T19:03:49Z","Travel & Events"
"I Put FREE VBUCKS In My Fortnite Name!","UC-sjC5fKKsrpcZRJwlZJzZQ",812825,48772,0,3320,"2022-02-09T17:54:19Z","Gaming"
"Savage - Full Song | Honey 3.0 | Yo Yo Honey Singh &amp; Nushrratt Bharuccha | Zee Music Originals","UCFFbwnve3yF62-tVXkTyHqg",815081,104477,0,18306,"2023-08-03T05:00:14Z","Music"
"দরজা ভেঙে মধ্যরাতে নূরের বাসায় তল্লাশি, কারণ জানালেন ডিবি প্রধান | Nurul Haq Nur | Channel 24","UCHLqIOMPk20w-6cFgkA90jw",741287,12214,0,2188,"2023-08-02T08:09:16Z","News & Politics"
"The Flash 5x22 Sneak Peek &quot;Legacy&quot; (HD) Season 5 Episode 22 Sneak Peek Season Finale","UCDR8cvjALazMm2j9hOar8_g",683370,9787,0,1147,"2019-05-11T01:08:23Z","Entertainment"
"Boy Kristiano | FULL MOVIE | John Regala, Dick Israel | CineMo","UCNJ4O0LvYuMOiOvS-g6eADA",620866,3423,0,64,"2023-07-28T12:00:08Z","Entertainment"
"Butterfly Wonderland | Uniquely Scottsdale","UC4OdfHtdQf7LSVigj-v0Beg",585030,30,0,3,"2021-12-08T16:39:14Z","Travel & Events"
"Blackwoods - Technical &amp; Safety Specialties","UCfA8meUWjOmhLQKsUGnLOsQ",568818,7,0,2,"2021-10-27T22:20:18Z","People & Blogs"
"Ningún Humano Puede Entrar Aquí","UCl8bYBm0XAP23mReE11IBOA",551361,36281,0,2074,"2023-08-02T19:55:15Z","Entertainment"
"क्या इन दंगो के पीछे &#39;सिस्टम&#39; का हाथ है ? | Deepak Sharma | Modi | Shah | CJI Chandrachud |  |","UC6kMU8Kcb_BjV_b6k5j3Mdw",537323,30351,0,3422,"2023-08-02T16:48:53Z","Entertainment"
"CPMI - Dino, Eliziane e Gdias viram alvos. Os melhores momentos da sessão.","UCXRIQok8uzYtg1TPwSqikVg",508398,122462,0,6488,"2023-08-02T10:17:01Z","Entertainment"
